question|answer
A quelle heure ça commence?|la fête commence à 8 heures.
la fête commence à 8 heures.|ouais, je pense que je vais y aller 
ouais, je pense que je vais y aller.|est-ce que je vais te voir là-bas ? 
que se passe-t-il?|vraiment rien, et toi
vraiment rien, et toi ?|j'organise une fête samedi prochain.
j'organise une fête samedi prochain.|Est-ce correct? 
Est-ce correct?|ouais, tu vas venir
ouais, tu vas venir ?|je suis désolé, je ne peux pas.
je suis désolé, je ne peux pas.|pourquoi pas? 
pourquoi pas?|je n'ai pas vraiment envie.
je n'ai pas vraiment envie.|eh bien, pourquoi pas toi ? 
eh bien, pourquoi pas toi ?|je déteste aller aux fêtes.
je déteste aller aux fêtes.|eh bien, ça va 
eh bien, ça va.|Ouais désolé 
quoi de neuf?|rien, et toi
rien, et toi ?|samedi prochain, je vais faire une fête.
samedi prochain, je vais faire une fête.|oh vraiment? 
oh vraiment?|vous venez
vous venez?|probablement pas.
probablement pas.|pourquoi donc? 
pourquoi donc?|je n'ai pas envie d'y aller.
je n'ai pas envie d'y aller.|pourquoi pas? 
pourquoi pas?|je ne supporte vraiment pas d'aller aux fêtes.
je comprends, je suppose.|Désolé pour ça 
pas beaucoup, et vous ?|j'ai une fête samedi prochain.
j'ai une fête samedi prochain.|c'est bien 
c'est bien.|allez-vous être là? 
allez-vous être là?|je ne pense pas.
je ne pense pas.|y a-t-il une raison à cela ? 
y a-t-il une raison à cela ?|je ne veux vraiment pas y aller.
je ne veux vraiment pas y aller.|
comment ça se fait?|je n'aime pas vraiment les fêtes.
je n'aime pas vraiment les fêtes.|j'aimerais que tu y ailles, mais ce n'est pas grave 
quoi de neuf?|pas grand chose, que se passe-t-il
j'ai aimé converser avec vous.|Y a-t-il une raison pour laquelle tu essaies de raccrocher si vite ? 
pas grand chose, que se passe-t-il ?|j'ai une fête ce vendredi.
j'ai une fête ce vendredi. oh vraiment?|c'est bien.
oh vraiment?|c'est bien. je voulais voir si tu voulais venir.
je voulais voir si tu voulais venir. ce vendredi?|désolé, j'ai déjà des projets.
ce vendredi?|désolé, j'ai déjà des projets. faire quoi
faire quoi?|je vais dîner avec ma famille.
je vais dîner avec ma famille.|je voulais vraiment que tu viennes, mais je comprends 
je voulais vraiment que tu viennes, mais je comprends.|ouais, peut-être la prochaine fois 
ouais, peut-être la prochaine fois.|je vais vous y tenir 
je vais vous y tenir.|ça ma l'air bon 
hé, qu'est-ce qui ne va pas chez toi ?|pas beaucoup. et toi
pas beaucoup. et toi ?|j'organise une fête vendredi.
j'organise une fête vendredi.|cela semble amusant 
cela semble amusant.|tu penses que tu peux venir ? 
tu penses que tu peux venir ?|je suis désolé. je fais déjà quelque chose ce vendredi.
je suis désolé.|je fais déjà quelque chose ce vendredi qu'est-ce que tu vas faire ? 
qu'est-ce que tu vas faire ?|ma famille et moi allons dîner.
ma famille et moi allons dîner.|j'espérais que tu viendrais 
j'espérais que tu viendrais.|j'essaierai certainement de le faire la prochaine fois 
j'essaierai certainement de le faire la prochaine fois.|je ferais mieux de te voir là-bas 
je ferais mieux de te voir là-bas.|d'accord je te verrai la prochaine fois 
que se passe-t-il?|rien vraiment. et toi
rien vraiment. et toi ?|beaucoup, comme la fête que je fais vendredi.
beaucoup, comme la fête que je fais vendredi.|eh bien, c'est cool 
eh bien, c'est cool.|seras-tu capable d'y arriver ? 
seras-tu capable d'y arriver ?|je suis occupé ce vendredi. je suis désolé.
je suis occupé ce vendredi.|je suis désolé Que dois-tu faire? 
Que dois-tu faire?|je dîne avec ma famille
je dîne avec ma famille peut-être que tu pourras venir la prochaine fois.|
peut-être que tu pourras venir la prochaine fois.|je m'en assurerai et viendrai à ta prochaine fête 
pourquoi essaies-tu de me presser de raccrocher au téléphone ?|je dois vraiment y aller.
je dois vraiment y aller. pourquoi ?|je voulais toujours te parler.
pourquoi ?|je voulais toujours te parler. J'ai des choses à faire.
J'ai des choses à faire.|comme quoi? 
comme quoi?|ne sois pas curieux.
ne sois pas curieux.|je ne suis pas je veux juste savoir 
je ne suis pas.|je veux juste savoir eh bien, ce ne sont vraiment pas vos affaires 
eh bien, ce ne sont vraiment pas vos affaires.|c'est dur 
c'est dur.|Je suis désolé, mais je dois aller 
Je suis désolé, mais je dois aller.|bien 
Y a-t-il une raison pour laquelle tu essaies de raccrocher si vite ?|Je dois partir.
Je dois partir.|je n'avais pas fini de te parler 
je n'avais pas fini de te parler.|je dois faire certaines choses, et en plus, ce n'est pas poli d'être curieux 
je dois faire certaines choses, et en plus, ce n'est pas poli d'être curieux.|je ne suis pas curieux je ne fais que demander 
je ne suis pas curieux.|je ne fais que demander je ne pense vraiment pas que cela vous regarde 
je ne pense vraiment pas que cela vous regarde.|c'est pas gentil 
c'est pas gentil.|je m'excuse, mais je raccroche maintenant 
je m'excuse, mais je raccroche maintenant.|d'accord 
je te parlerai plus tard.|quelle est l'urgence ? 
quelle est l'urgence ?|je dois raccrocher maintenant.
je dois raccrocher maintenant.|je ne suis pas prêt à raccrocher avec toi 
je ne suis pas prêt à raccrocher avec toi.|il y a d'autres choses dont je dois m'occuper 
il y a d'autres choses dont je dois m'occuper.|qu'est-ce que tu dois faire ? 
qu'est-ce que tu dois faire ?|s'il vous plaît, ne soyez pas curieux.
s'il vous plaît, ne soyez pas curieux.|je ne suis pas curieux, c'est juste une question 
je ne suis pas curieux, c'est juste une question.|vous n'avez pas à vous inquiéter pour ça 
vous n'avez pas à vous inquiéter pour ça.|c'était méchant de dire 
c'était méchant de dire.|je suis vraiment désolé, mais je dois y aller 
eh bien, c'était agréable de parler avec toi.|c'était sympa de parler avec toi aussi 
c'était sympa de parler avec toi aussi.|on devrait vraiment sortir ensemble 
on devrait vraiment sortir ensemble.|ce serait amusant 
ce serait amusant.|Où veux-tu aller? 
Où veux-tu aller?|je pense que nous devrions sortir manger.
je pense que nous devrions sortir manger.|Ça a l'air bien 
Ça a l'air bien.|très bien, alors je te verrai alors 
très bien, alors je te verrai alors.|je t'appellerai plus tard 
je t'appellerai plus tard.|ok, je te parlerai plus tard alors 
à plus tard.|au revoir 
j'ai aimé parler avec toi aussi.|on devrait sortir ensemble un moment 
on devrait sortir ensemble un moment.|je pense que ce serait bien 
je pense que ce serait bien.|y a-t-il quelque chose que tu aimerais faire la prochaine fois ? 
y a-t-il quelque chose que tu aimerais faire la prochaine fois ?|tu veux sortir manger
tu veux sortir manger ?|J'aimerais ça.
J'aimerais ça.|donc je te verrai la prochaine fois 
donc je te verrai la prochaine fois.|je vais t'appeler bientôt 
je vais t'appeler bientôt.|je te parlerai plus tard 
je te parlerai plus tard.|à bientôt 
à bientôt.|au revoir 
j'ai eu du plaisir à te parler.|c'était vraiment agréable de parler avec toi aussi 
ça devrait être très amusant.|que veux-tu faire la prochaine fois ? 
que veux-tu faire la prochaine fois ?|tu veux aller dîner ou quoi
c'était vraiment agréable de parler avec toi aussi.|
je pense que nous devrions vraiment faire quelque chose un jour.|ça devrait être très amusant pourquoi as-tu eu un caniche ? 
pourquoi as-tu eu un caniche ?|c'est le chien de ma mère.
tu veux aller dîner ou quoi ?|ouais, faisons ça.
ouais, faisons ça.|ok, à la prochaine fois alors 
ok, à la prochaine fois alors.|je t'appellerai pour que nous puissions organiser ça 
je t'appellerai pour que nous puissions organiser ça.|je te parle alors 
je te parle alors.|très bien, à bientôt 
où  habites-tu ?|j'habite à Pasadena.
j'habite à Pasadena.|où est Pasadena? 
où est Pasadena?|c'est en Californie.
c'est en Californie.|est-ce dans le nord de la Californie ? 
est-ce dans le nord de la Californie ?|Non. c'est dans le sud de la Californie.
Non.|c'est dans le sud de la Californie Pasadena est-elle une grande ville ? 
Pasadena est-elle une grande ville ?|c'est assez gros.
c'est assez gros.|quelle est la taille de « assez gros » ? 
quelle est la taille de « assez gros » ?|elle compte environ 140 000 personnes.
elle compte environ 140 000 personnes.|Quelle est la taille de Los Angeles ? 
Quelle est la taille de Los Angeles ?|elle compte environ 3 millions d'habitants.
as-tu une voiture?|oui je le fais.
oui je le fais.|quel type de voiture avez-vous? 
quel type de voiture avez-vous?|j'ai une Honda.
j'ai une Honda.|est-ce nouveau? 
est-ce nouveau?|c'était nouveau en 2003.
c'était nouveau en 2003.|donc c'est assez vieux maintenant 
donc c'est assez vieux maintenant.|oui c'est le cas mais ça a toujours l'air bien 
oui c'est le cas.|mais ça a toujours l'air bien En prends-tu bien soin? 
En prends-tu bien soin?|oh oui. je le lave une fois par semaine.
oh oui.|je le lave une fois par semaine tu changes l'huile ? 
tu changes l'huile ?|mon mécanicien change l'huile deux fois par an.
Avez-vous une petite amie?|non, je ne le fais pas. est-ce que tu
non, je ne le fais pas. est-ce que tu?|je n'ai pas de petite amie non plus.
je n'ai pas de petite amie non plus.|pourquoi pas? 
je ne sais pas.|peut-être que je ne suis pas assez riche les filles aiment les gars qui ont de l'argent 
les filles aiment les gars qui ont de l'argent.|c’est sûr qu’ils le font 
c’est sûr qu’ils le font.|ils aiment les gars avec des voitures neuves 
ils aiment les gars avec des voitures neuves.|je n'ai pas d'argent ni de nouvelle voiture 
je n'ai pas d'argent ni de nouvelle voiture.|moi non plus 
moi non plus.|mais les filles aiment les gars drôles 
mais les filles aiment les gars drôles.|peut-être devrions-nous apprendre de bonnes blagues 
où vas-tu?|je dois promener le chien.
je dois promener le chien.|Quelle sorte de chien avez-vous? 
Quelle sorte de chien avez-vous?|j'ai un petit caniche.
j'ai un petit caniche.|les caniches aboient beaucoup 
les caniches aboient beaucoup.|c’est sûr qu’ils le font 
c’est sûr qu’ils le font.|ils aboient contre tout 
ils aboient contre tout.|ils ne se taisent jamais 
ils ne se taisent jamais.|pourquoi as-tu eu un caniche ? 
c'est le chien de ma mère.|donc elle aime les caniches 
donc elle aime les caniches.|elle dit que ce sont de bons chiens de garde 
puis-je emprunter 5 $ ?|bien sûr. Pourquoi en avez-vous besoin
bien sûr. Pourquoi en avez-vous besoin?|je veux acheter le déjeuner.
je veux acheter le déjeuner.|où est ton argent ? 
où est ton argent ?|ce n'est pas dans mon portefeuille.
ce n'est pas dans mon portefeuille.|ton portefeuille est vide ? 
ton portefeuille est vide ?|je n'ai même pas un dollar dedans.
je n'ai même pas un dollar dedans.|Être en panne n'est pas amusant 
Être en panne n'est pas amusant.|même si ce n'est que pour une courte période 
même si ce n'est que pour une courte période.|c'est toujours bien d'avoir des amis 
c'est toujours bien d'avoir des amis.|des amis vous prêteront de l'argent lorsque vous serez fauché 
des amis vous prêteront de l'argent lorsque vous serez fauché.|à condition de les rembourser 
Allons à la plage.|c'est une bonne idée 
c'est une bonne idée.|nous n'y sommes pas allés depuis un moment 
nous n'y sommes pas allés depuis un moment.|nous n'y sommes pas allés depuis un mois 
nous n'y sommes pas allés depuis un mois.|la dernière fois que nous y sommes allés, tu as failli te noyer 
la dernière fois que nous y sommes allés, tu as failli te noyer.|non, je ne l'ai pas fait 
non, je ne l'ai pas fait.|alors pourquoi le sauveteur a-t-il plongé dans l'eau ? 
alors pourquoi le sauveteur a-t-il plongé dans l'eau ?|je pense qu'il voulait se calmer.
je pense qu'il voulait se calmer.|il a nagé jusqu'à toi 
il a nagé jusqu'à toi.|et puis il s'est retourné 
et puis il s'est retourné.|peut-être que tu as raison 
peut-être que tu as raison.|peut-être devrions-nous y aller 
es-tu marié Non.|Je suis divorcé 
Non.|Je suis divorcé quand as-tu divorcé ? 
quand as-tu divorcé ?|j'ai divorcé il y a deux ans.
pourquoi as-tu divorcé ?|ma femme m'a quitté.
ma femme m'a quitté.|pourquoi t'a-t-elle quitté ? 
eh bien, je suppose que tu dois vivre avec ça.|parfois j'ai envie de le jeter par la fenêtre 
tu ne veux pas faire ça.|pourquoi pas? 
pourquoi pas?|vous pourriez frapper quelqu'un à la tête.
qu'est-ce qu'il y a pour le dîner ?|Je ne suis pas sûr.
Je ne suis pas sûr.|que diriez-vous d'une pizza ? 
que diriez-vous d'une pizza ?|tu as mangé une pizza pour le déjeuner.
tu as mangé une pizza pour le déjeuner.|mais j'adore la pizza 
mais j'adore la pizza.|tout le monde aime la pizza 
tout le monde aime la pizza.|alors pourquoi je ne peux pas manger de pizza pour le dîner ? 
alors pourquoi je ne peux pas manger de pizza pour le dîner ?|parce qu'il faut de la variété.
parce qu'il faut de la variété.|qu'est-ce que la "variété" ? 
qu'est-ce que la "variété" ?|des choses différentes – pas toujours la même chose.
des choses différentes – pas toujours la même chose.|tu veux dire, comme une pizza au pepperoni au lieu d'une pizza au fromage ? 
tu veux dire, comme une pizza au pepperoni au lieu d'une pizza au fromage ?|non, je veux dire une salade au lieu d'une pizza.
nous devons économiser de l'argent.|
pourquoi devons-nous économiser de l’argent ?|parce que nous devons acheter une maison.
parce que nous devons acheter une maison.|mais une maison coûte tellement cher 
mais vous vous endormirez dans environ une minute.|
mais une maison coûte tellement cher.|c'est pourquoi nous devons économiser de l'argent 
c'est pourquoi nous devons économiser de l'argent.|combien devons-nous économiser ? 
combien devons-nous économiser ?|nous devons économiser suffisamment pour un acompte.
nous devons économiser suffisamment pour un acompte.|ça fait combien ? 
ça fait combien ?|cela représente environ 30 000 $.
cela représente environ 30 000 $.|trente mille dollars ! cela prendra une éternité 
trente mille dollars ! cela prendra une éternité.|pas si nous économisons chaque centime 
pas si nous économisons chaque centime.|d'accord voici sept centimes 
l'océan est si grand.|on n'en voit pas la fin 
on n'en voit pas la fin.|cela continue encore et encore 
cela continue encore et encore.|et c'est profond aussi 
et c'est profond aussi.|je pense que c'est cinq miles de profondeur 
je pense que c'est cinq miles de profondeur.|y a-t-il des poissons au fond ? 
y a-t-il des poissons au fond ?|il y a des poissons en haut et en bas.
il y a des poissons en haut et en bas.|y a-t-il plus de poissons ou plus de monde ? 
y a-t-il plus de poissons ou plus de monde ?|je pense qu'il y a plus de poissons.
je pense qu'il y a plus de poissons.|je l'espère j'adore manger du poisson 
je suis en colère contre ma mère.|pourquoi donc? 
pourquoi donc?|je l'ai prévenue à propos de son nouveau petit ami. elle ne m'a pas écouté.
je l'ai prévenue à propos de son nouveau petit ami.|elle ne m'a pas écouté ce qui s'est passé? 
